DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
212014611,09/21/2021 12:00:00 AM,09/14/2021 12:00:00 AM,2050,20,Olympic,2062,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344,22,F,H,101,STREET,,,IC,Invest Cont,420,,,,1000 S  WESTERN                      AV,,34.0506,-118.3127
211509872,05/30/2021 12:00:00 AM,05/29/2021 12:00:00 AM,2200,15,N Hollywood,1553,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,11800    RIVERSIDE                    DR,,34.1576,-118.3904
210406188,03/01/2021 12:00:00 AM,03/01/2021 12:00:00 AM,1030,04,Hollenbeck,0448,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038,65,F,H,504,OTHER RESIDENCE,,,AA,Adult Arrest,901,,,,1300    DE NEVE                      LN,,34.0568,-118.1968
210119511,10/29/2021 12:00:00 AM,10/29/2021 12:00:00 AM,0001,01,Central,0101,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,900    WHITE KNOLL                  DR,,34.0671,-118.2483
231606862,03/31/2023 12:00:00 AM,01/01/2021 12:00:00 AM,0100,16,Foothill,1657,2,354,THEFT OF IDENTITY,0377 0917 0927,25,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10100    COMMERCE                     AV,,34.2523,-118.2886
210109575,04/29/2021 12:00:00 AM,04/29/2021 12:00:00 AM,0710,01,Central,0162,2,920,KIDNAPPING - GRAND ATTEMPT,0416 0400 2004 0910 1257 2050 2052 1822,4,M,B,931,MTA - BLUE LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,920,,,,7TH,FLOWER,34.0487,-118.2588
212100689,06/24/2021 12:00:00 AM,06/24/2021 12:00:00 AM,1250,21,Topanga,2103,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,41,M,X,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,442,998,,,8300    TOPANGA CANYON               BL,,34.2259,-118.6126
211711697,08/19/2021 12:00:00 AM,08/19/2021 12:00:00 AM,0700,17,Devonshire,1737,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10700    DEBRA                        AV,,34.2647,-118.4903
211820864,11/30/2021 12:00:00 AM,11/30/2021 12:00:00 AM,1325,18,Southeast,1823,2,900,VIOLATION OF COURT ORDER,0913 2038,44,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900,,,,200 E  COLDEN                       AV,,33.9492,-118.2717
211004945,01/30/2021 12:00:00 AM,01/30/2021 12:00:00 AM,1537,10,West Valley,1094,2,354,THEFT OF IDENTITY,1822 0930 1202,70,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4000    FALLING LEAF                 DR,,34.1457,-118.5263
211218181,08/13/2021 12:00:00 AM,08/12/2021 12:00:00 AM,2205,12,77th Street,1245,1,330,BURGLARY FROM VEHICLE,0344 1609 0329 0321,31,M,H,101,STREET,,,IC,Invest Cont,330,,,,1000 W  64TH                         ST,,33.9814,-118.2923
